model,accuracy,precision_macro,recall_macro,f1_macro,train_secs
xgb_class_weighted,0.9990319726730646,0.9498123268647494,0.997423747898876,0.9692477523479929,115.6
rf_class_weighted,0.9961001194164858,0.8787295525616025,0.9965659402360932,0.9002460591719298,127.4
